Nome scuola,Indirizzo,Grado,Forma,Sito,Telefono,Mail
Asilo Nido Comunale "I Molini dell'Adige",Via Belvedere 30 – 37026 Pescantina,Asilo Nido,Pubblica,https://azalea.coop/asilo-nido-comunale-mulini-delladige/ ,045 575388,info@azalea.coop,sì
Scuola infanzia di Arcè "John F. Kennedy",Via Belvedere 51 – 37026 Pescantina,Infanzia,Pubblica,https://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VRAA899016/kennedy-jf-arce/ ,045 715 2381,VRIC899009@istruzione.it,sì
Scuola infanzia di S. Lucia ,Via Don Morandin 7 – 37026 Pescantina,Infanzia,Pubblica,https://www.ic1pescantina.edu.it/pagine/infanzia-santa-lucia ,0457152383,vric899009@istruzione.it,sì
Scuola infanzia di Settimo "Silvia Sartori",Via dei Pini 43 – 37026 Pescantina,Infanzia,Pubblica,https://www.scuolestatali.eu/scuole_statali/scheda/silvia-sartori-settimo/70905 ,0457152143,Vree061001@istruzione.it,sì
Scuola infanzia di Balconi "Calabrese Lorenzo",Via Siedlce 4 – 37026 Pescantina,Infanzia,Pubblica,https://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VRAA836013/balconi-l-calabrese/,0457150482,vric836006@istruzione.it,sì
Scuola dell'Infanzia Scuola Infanzia San Luigi Piccola Casa Della Divina Provvidenza Cottolengo,Corso San Lorenzo 25 – 37026 Pescantina,Infanzia,Privata,https://pescantina.scuolacottolengo.org/ ,045.7150759,sanluigi.pescantina@cottolengo.org,non specificato
Scuola primaria del capoluogo "Alunni d'Europa",Via Ponte 156 – 37026 Pescantina,Primaria di Primo Grado,Pubblica,https://www.tuttitalia.it/veneto/60-pescantina/25-scuole/scuola-primaria/ ,0457150742,vric899009@istruzione.it,sì
Scuola primaria di Settimo "F. Baracca",Via Mons Vicentini 13 – 37026 Pescantina,Primaria di Primo Grado,Pubblica,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VREE836029/fbaracca-settimo/ ,	0457150482,VRIC836006@istruzione.it,sì
Scuola di Pescantina "Ippolito Pindemonte",Via Borgo 70 – 37026 Pescantina,Secondaria di Primo Grado,Pubblica,https://www.ic1pescantina.edu.it/ ,045 7150742,vric899009@istruzione.it,non specificato
Scuola secondaria di primo grado di Ospedaletto,Via Montindon 3 – 37026 Pescantina,Secondaria di Primo Grado,Pubblica,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/RNMM820014/scuola-sec-i-grado-ospedaletto/ ,0541657155,RNIC820003@istruzione.it,sì
Scuola Bambi&Bimbi,Via Don Milani 4 - Pescantina,Infanzia,Privata,https://www.donmilanibilingualschool.it/chi-siamo ,045-7158795,asilo.bambi@gmail.com,sì
Scuola Bambi&Bimbi,Via Don Milani 4 - Pescantina,Primaria,Privata,https://www.donmilanibilingualschool.it/chi-siamo ,045-8942711,primaria.bambi@gmail.com,sì
Don Lorenzo Milani bilingual school,Via Mirandola 61 – Pescantina,Secondaria I Grado,Privata,https://www.donmilanibilingualschool.it/chi-siamo ,045-8942300,secondaria.donmilani@gmail.com,sì
