Nome scuola;Indirizzo;Grado;Forma
Il Girotondo;Via Nino Bixio, 311;Asilo nido;Pubblica
Piccolo Mondo;Via Enrico Federico, 5;Asilo nido;Pubblica
Carlo Collodi;Via Carlo Collodi;Infanzia;Pubblica
Angeli Custodi;Via Caluri;Infanzia;Pubblica
San Giuseppe;Corso Vittorio Emanuele, 60;Infanzia;Privata
Maria Bambina - Istituto Canossiano;Via Messedaglia, 146;Infanzia;Privata
San Gaetano;Piazza 24 Febbraio, 5;Infanzia;Privata
Ebe e Aleardo Franchini;Via Tito Speri, 17;Infanzia;Privata
Don Geremia Cordioli;Via Borgo Milano, 22;Infanzia;Privata
Santa Maria Goretti;Via Piave, 2;Infanzia;Privata
Luigi e Stella Mariotto;Via Carlo Alberto, 22;Infanzia;Privata
Maria Zoccatelli;Piazza Don Girelli, 4;Infanzia;Privata
Gaetano Bellotti;Corso Vittorio Emanuele, 113;Primaria;Pubblica
Cesare Marchi;Via Antonio Gramsci;Primaria;Pubblica
Edmondo De Amicis;Via Edmondo De Amicis, 7;Primaria;Pubblica
Anna Frank;Via Principe Amedeo;Primaria;Pubblica
Dante Alighieri;Via Prina, 63;Primaria;Pubblica
Don Calabria;Via Principe di Saluzzo;Primaria;Pubblica
Vittorio Locchi;Viale Europa, 33;Primaria;Pubblica
Giacomo Zanella;Strada La Rizza;Primaria;Pubblica
Istituto Canossiano;Via Messedaglia, 146;Primaria;Privata
Cavalchini Moro;Via Marconi, 3;Secondaria I Grado;Pubblica
Rita Levi Montalcini;Via dei Mille;Secondaria I Grado;Pubblica
Don Allegri;Via Aldo Rizzini, 4;Secondaria I Grado;Privata
Liceo Enrico Medi;Via Magenta, 9;Secondaria II Grado;Pubblica
ISISS Carlo Anti;Via Magenta, 3;Secondaria II Grado;Pubblica
IS Ettore Bolisani;Via Magenta;Secondaria II Grado;Pubblica
IPSAR Stefani Bentegodi;Via Ospedale;Secondaria II Grado;Pubblica
ENGIM Veneto SF Scaligera Formazione Verona;Via Novara;CFP;Pubblica
