Nome scuola;Indirizzo;Grado;Forma
"Asilo Nido Comunale ""I Molini dell'Adige""";Via Belvedere 30 - 370260 Pescantina;Asilo Nido;Pubblica
"Scuola infanzia di Arcè ""Johon F. Kennedy""";Via Belvedere 51 - 370260 Pescantina;Infanzia;Pubblica
Scuola infanzia di S. Lucia ;Via Don Morandin 7 - 370260 Pescantina;Infanzia;Pubblica
"Scuola infanzia di Settimo ""Silvia Sartori""";Via dei Pini 43 - 370260 Pescantina;Infanzia;Pubblica
"Scuola infanzia di Balconi ""Calabrese Lorenzo""";Via Siedlce, 4 - 370260 Pescantina;Infanzia;Pubblica
Scuola dell'Infanzia Scuola Infanzia San Luigi Piccola Casa Della Divina Provvidenza Cottolengo;Corso San Lorenzo 25 - 370260 Pescantina;Infanzia;Privata
"Scuola primaria del capoluogo ""Alunni d'Europa""";Via Ponte 156 - 370260 Pescantina;Primaria di Primo Grado;Pubblica
"Scuola primaria di Settimo ""F. Baracca""";Via Mons, Vicentini 13 - 370260 Pescantina;Primaria di Primo Grado;Pubblica
"Scuola di Pescantina ""Ippolito Pindemonte""";Via Borgo 70 - 370260 Pescantina;Secondaria di Primo Grado;Pubblica
Scuola secondaria di primo grado di Ospedaletto;Via Montindon 3 - 370260 Pescantina;Secondaria di Primo Grado;Pubblica
Scuola Bambi&Bimbi;Via Don Milani 4 - Pescantina;Infanzia;Privata
Scuola Bambi&Bimbi;Via Don Milani 4 - Pescantina;Primaria;Privata
Don Lorenzo Milani bilingual school;Via Mirandola, 61 - Pescantina;Secondaria I Grado;Privata
