Paese,Nome scuola,Indirizzo,Grado,Forma,Sito,Telefono,Mail,Aiuto disabilità
Sona,SULL’ARCOBALENO,Via Giosuè Carducci 10 37060 Lugagnano di Sona (VR),Asilo nido,Pubblica,https://www.facebook.com/p/Asilo-nido-SullArcobaleno-100063516431226/ ,045 984933,arcobaleno@linfanzia.it,non specificato
Sona,Cav. Girelli,Via Cavalier Antonio Girelli 37060 Palazzolo di Sona (VR),Infanzia,Pubblica,http://infanziapalazzolo.weebly.com/progetti1.html,045 6080480,asilopalazzolo@libero.it,non specificato
Sona,Don Eliseo Panardo,Via Santini 7 37060 San Giorgio in Salici (VR),Infanzia,Pubblica,http://www.scuoladep.it/ ,045-7190038,coordinatrice@scuoladep.it e presidente@scuoladep.it,non specificato
Sona,Don Fracasso,Via Don Fracasso 3 37060 Lugagnano di Sona (VR),Infanzia,Pubblica,https://www.infanzialugagnano.it/it/scuola-infanzia-lugagnano ,045 514101, coordinatrice@infanzialugagnano.it e segreteria@infanzialugagnano.it,non specificato
Sona,Cavalier Romani,Via Roma 21 37060 Sona (VR),Infanzia,Pubblica,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VRAA814016/cavalier-annibale-romani/ ,045 6081300,VRIC814009@istruzione.it,si
Sona,Statale di Lugagnano di Sona,via Papa Giovanni Paolo II 37060 Lugagnano di Sona (VR),Infanzia,Pubblica,https://www.iclugagnano.edu.it/pagine/infanzia ,045-984558,vric83800t@istruzione.it,non specificato
Sona,A. Aleardi,Via Roma 21 37060 Sona (VR),Primaria,Pubblica,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VREE81403D/sona-aleardi-a/ ,045 6081300,VRIC814009@istruzione.it,si
Sona,Don G.Bosco,Via Castello 5 37060 Palazzolo di Sona VR,Primaria,Pubblica,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VREE81402C/palazzolo-sgiovanni-bosco/ ,045 6081300,VRIC814009@istruzione.it,si
Sona,C.Collodi,Via Celà  37060 San Giorgio in Salici VR,Primaria,Pubblica,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VREE88403Q/collodi-c/ ,045 8900628,VRIC88400G@istruzione.it,si
Sona,Primaria statale Silvio Pellico,Via Don Minzoni 2 37060 Lugagnano VR,Primaria,Pubblica,https://www.icspellicolettere.edu.it/ ,081 8021218,naic8as00a@istruzione.it,non specificato
Sona,Virgilio,Via Giovan Battista Pergolesi 13 37060 Sona VR,Secondaria I Grado,Pubblica,https://www.icsona.edu.it/ ,045 6081300,vric814009@istruzione.it,non specificato
Sona,Anna Frank,Via Giosuè¨ Carducci 10 37060 Lugagnano di Sona (VR),Secondaria I Grado,Pubblica,https://www.iclugagnano.edu.it/pagine/secondaria-anna-frank ,045 8699665,vric83800t@istruzione.it,non specificato
Sona,Angolo delle Coccole,Via Don Fracasso 1 37060 Sona VR,Asilo nido,Privata,http://www.langolodellecoccole.it/ ,045 8680501,info@langolodellecoccole.it,non specificato
Villafranca,Il Girotondo,Via Nino Bixio 311,Asilo nido,Pubblica,https://www.paginegialle.it/villafranca-di-verona-vr/scuole-private/asilo-nido-comunale-girotondo_2  ,045 7900252,asilo.nido@comune.villafranca.vr.it,non specificato
Villafranca,Piccolo Mondo,Via Enrico Federico 5,Asilo nido,Pubblica,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/RM1AER5007/piccolo-mondo/ ,0774-358267,BORRELLIROBERTA976@GMAIL.COM,non specificato
Villafranca,Carlo Collodi,Via Carlo Collodi,Infanzia,Pubblica,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VRAA86801E/collodi/ ,045 7900185,VRIC86800N@istruzione.it,si
Villafranca,Angeli Custodi,Via Caluri,Infanzia,Pubblica,https://www.angeli-custodi.com/ ,045/8266025,angelicustodi.vr@gmail.com,non specificato
Villafranca,San Giuseppe,Corso Vittorio Emanuele 60,Infanzia,Privata,https://maternavillafranca.it/ ,045 7900566,materna.sangiuseppe@libero.it,non specificato
