Nome scuola;Indirizzo;Grado;Forma;;
SULL’ARCOBALENO;Via Giosuè Carducci, 10, 37060 Lugagnano di Sona (VR);Asilo nido;Pubblica;;
Cav. Girelli;Via Cavalier Antonio Girelli, 37060, Palazzolo di Sona (VR);Infanzia;Pubblica;;
Don Eliseo Panardo;Via Santini, 7, 37060, San Giorgio in Salici (VR);Infanzia;Pubblica;;
Don Fracasso;Via Don Fracasso, 3, 37060, Lugagnano di Sona (VR);Infanzia;Pubblica;;
Cavalier Romani;Via Roma, 21, 37060 Sona (VR);Infanzia;Pubblica;;
Statale di Lugagnano di Sona;via Papa Giovanni Paolo II - 37060 Lugagnano di Sona (VR)   ;Infanzia;Pubblica;;
A. Aleardi;Via Roma, 21, 37060 Sona (VR);Primaria;Pubblica;;
Don G.Bosco;Via Castello, 5, 37060 Palazzolo di Sona VR;Primaria;Pubblica;;
C.Collodi;Via Celà, 37060 San Giorgio in Salici VR;Primaria;Pubblica;;
Primaria statale Silvio Pellico;Via Don Minzoni, 2, 37060 Lugagnano VR;Primaria;Pubblica;;
Virgilio;Via Giovan Battista Pergolesi, 13, 37060 Sona VR;Secondaria I Grado;Pubblica;;
Anna Frank;Via Giosuè Carducci, 10, 37060 Lugagnano VR;Secondaria I Grado;Pubblica;;
Angolo delle Coccole;Via Don Fracasso, 1, 37060 Sona VR;Asilo nido;Privata;;
Piccole canaglie;Via Reno, 5, 37060 Lugagnano VR;Asilo nido;Privata;;

