Nome scuola;Indirizzo;Grado;Forma
Scuola Primaria Paolo Caliari;Via Gino Ferroni 4;Primaria;Pubblica
Scuola Secondaria di primo grado Italo Montemezzi;Via XXV Aprile snc;Secondaria I Grado;Pubblica
Scuola dell'Infanzia Benigno Zaccagnini;Via dell'Aviatore;Infanzia;Privata
Scuola dell'Infanzia Beato Giuseppe Baldo;Via Crocetta 1;Infanzia;Privata
Scuola dell?infanzia Francesco Miniscalchi;Via Francesco Miniscalchi 2;Infanzia;Privata
asilo nido La caramella;Via Caterina Bon Brenzoni 78;Asilo nido;Privata
Asilo nido Il cavalluccio marino;Via Paolo Borsellino 2B;Asilo nido;Privata
Steiner-Waldorf;Località Laura 3;Infanzia;Privata
Steiner-Waldorf;Località Laura 3;Primaria;Privata
Steiner-Waldorf;Località Laura 4;Secondaria I Grado;Privata
Istituto delle Poverette della Casa Nazareth;Via Duca degli Abruzzi 5;CFP;Privata

